Disc,tag,model,Type,AntiFoul,DeployArea,deploy.t,rel.t,deploy.days,DeplLat,DeplLong,CL,Shell,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0_63,s.min0_63,angle0,s.maj0_95,s.min0_95,est.dist.km,est.bearing.deg,est.rate.kmd-1
17Z0455,178732,mrPAT,2,N,4,7/10/2020 23:04,10/14/2020 0:00,96.04027778,57.63755100,-161.51623200,137,2,10/15/2020 0:02,FUA,10/16/2020 18:39,57.1424,-161.1801,1911,56,93,42.61694444,43.95472222,10088.41223,229.5182798,-125.8355175,9781.367778,57.09090841,-161.3109026,2744.21776,462.301654,86.57051151,4749.742545,800.160201,62.01838955,168.4620357,0.645753958
17Z0451,179239,mrPAT,2,N,4,7/10/2020 15:19,10/14/2020 0:00,96.48611111,57.65587500,-161.33734900,146,2,10/15/2020 2:59,FUA,10/15/2020 16:33,57.0086,-161.3017,979,139,70,13.56777778,14.52333333,4130.901045,284.4320206,-69.99711051,3859.110448,57.02043989,-161.3614033,1818.240031,539.9057614,82.6730592,3147.043269,934.4788167,70.67190268,181.1804933,0.732456743
17Z0456,202073,mrPAT,2,Y,4,7/10/2020 23:39,10/12/2020 23:59,94.46944444,57.66063400,-161.51679500,149,2,10/13/2020 10:55,FUA,10/14/2020 2:51,56.8039,-162.3842,1865,153,93,15.93666667,15.17222222,8285.435399,546.09241,-19.88441323,8702.892708,56.87738421,-162.4327479,2630.931147,625.81091,97.19449691,4553.663993,1083.165027,103.0411094,212.691331,1.090734788
17Z0450,202074,mrPAT,2,N,4,7/10/2020 14:51,10/13/2020 0:00,94.77569444,57.65859600,-161.34486400,140,2,10/13/2020 9:28,FUA,10/13/2020 19:53,56.6475,-161.7557,1309,189,106,10.42722222,10.80416667,4046.890397,374.5675647,-9.076710318,3905.699234,56.68213506,-161.7657531,1789.500598,507.5463432,97.67862746,3097.30053,878.4705408,111.5020963,193.3300569,1.176484087
17Z0453,202075,mrPAT,2,Y,4,7/10/2020 15:45,10/12/2020 23:59,94.70833333,57.65785100,-161.35026600,154,2,10/13/2020 8:45,FUA,10/13/2020 9:30,57.0432,-161.6665,404,207,38,0.758055556,0.827222222,319.0943363,385.7419781,-48.53987056,292.4138495,57.0449385,-161.6701103,1240.508897,480.1037973,85.80372119,2147.095602,830.972478,70.80185833,195.8580976,0.747577915
17Z0454,202077,mrPAT,2,Y,4,7/10/2020 22:28,10/12/2020 23:59,94.48472222,57.61642900,-161.51401000,144,2,10/13/2020 10:06,FUA,10/13/2020 18:36,57.1283,-161.3317,801,116,100,8.506111111,9.065277778,3525.625241,388.9153016,-25.4749137,3308.156768,57.1551158,-161.3552114,994.9858942,366.5710351,96.06528085,1722.139876,634.4678862,52.17105031,169.4222909,0.552163875
241,202080,mrPAT,1,N,2,7/7/2020 15:28,10/13/2020 23:59,98.87013889,57.29862700,-163.82925500,161,2,10/14/2020 12:21,FUA,10/14/2020 21:57,56.7515,-164.0023,709,68,107,9.616388889,9.174166667,5565.688603,606.6696633,28.86195087,5833.97141,56.79737419,-163.9562122,2156.905371,681.240293,92.73247563,3733.211466,1179.103222,56.2631979,187.8974417,0.569061585
214,202081,mrPAT,1,N,1,7/5/2020 17:05,10/13/2020 23:59,101.9708333,55.84882900,-162.83457900,165,2,10/15/2020 16:23,FUA,10/15/2020 16:33,55.9018,-163.5008,833,225,77,0.168888889,0.943055556,695.2990217,737.2832041,16.16422489,124.5189411,55.90287415,-163.5002458,839.9646601,245.110904,77.74156439,1453.826274,424.2424583,41.95608325,278.5104434,0.411451803
267,202082,mrPAT,1,N,3,7/9/2020 12:10,10/14/2020 0:00,97.08333333,56.82308800,-161.71930300,146,2,10/14/2020 14:10,FUA,10/14/2020 20:04,56.4242,-162.3999,849,72,105,5.9075,5.518888889,6002.535698,1087.634815,29.81210229,6425.202672,56.47425561,-162.3480663,2288.900235,441.7530295,80.27788776,3961.670603,764.594264,54.60703365,225.0025481,0.562475883
202,202092,mrPAT,1,Y,1,7/5/2020 12:25,10/12/2020 23:59,99.95486111,55.93356000,-162.83403500,149,2,10/13/2020 11:20,FUA,10/13/2020 16:33,56.286,-164.0029,1900,172,73,5.232222222,5.415833333,3275.077587,604.7227426,2.143707382,3164.043772,56.3143961,-164.0009875,2222.560632,540.6645749,74.72563754,3846.848799,935.792185,83.81088365,300.8320882,0.83848732
