tag,Capture_Station,Rel.Lat,Rel.Lon,CL,SC,Injuries,Vessel,model,deploy.t,rel.t,deploy.days,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD_m,driftR_m_h-1,inv.driftB,driftD0_m,lat0,lon0,s.maj0_95,s.min0_95,angle0
214916,E-16,56.12083333,-162.2189,151.1,2,no,AKK,mrPAT,6/5/2021 0:20,10/11/2021 23:59,129.525,10/12/2021 12:56,FUA,10/12/2021 18:35,56.2779,-163.5639,2616,269,71,5.660277778,3.191111111,7316.490672,2292.772146,-123.523604,12977.72723,56.21331898,-163.7388635,12990.73556,1743.258868,72.37367419
214917,H-11,56.83115,-161.55835,136.14,2,no,Vest,mrPAT,6/4/2021 5:54,10/11/2021 23:59,130.1854167,10/12/2021 10:21,FUA,10/12/2021 17:42,56.6213,-163.0633,930,236,110,7.351111111,2.35,2715.205418,1155.406561,168.1762495,8493.522006,56.54653336,-163.0349082,32127.97434,6199.060571,64.18832897
214918,I-9,58.0055,-162.7753333,140.2,2,no,AKK,mrPAT,6/6/2021 21:19,10/11/2021 23:59,127.6659722,10/12/2021 13:18,FUA,10/12/2021 19:23,56.7799,-162.467,1211,54,92,6.091388889,1.925,3626.358263,1883.822474,-121.6448167,11475.09529,56.72565428,-162.6271285,13142.57657,3883.983734,101.765071
214919,I-10,57.78981667,-162.0940667,157.74,2,no,Vest,mrPAT,6/5/2021 5:00,10/11/2021 23:59,129.3166667,10/12/2021 12:36,FUA,10/12/2021 15:24,56.6872,-163.1743,3393,215,78,2.811388889,5.916944444,6179.125626,1044.310232,-170.4565522,2935.962183,56.66116143,-163.1822653,8675.538881,645.0662673,78.11976622
214920,J-10,57.88886667,-164.2309167,151.97,2,no,Vest,mrPAT,6/7/2021 5:49,10/11/2021 23:59,127.3222222,10/12/2021 13:33,FUA,10/12/2021 15:26,57.1948,-164.4002,3631,187,82,1.895555556,2.258888889,1957.667743,866.650747,135.7081774,1642.784639,57.1842235,-164.3811632,11711.65274,2107.837085,83.39347383
214921,J-13,57.96778333,-160.8059667,136.16,2,no,AKK,mrPAT,6/3/2021 3:16,10/11/2021 23:59,131.3,10/12/2021 9:58,FUA,10/12/2021 15:21,57.2615,-161.1044,2213,72,80,5.395,4.683055556,3275.052945,699.3410406,101.5240822,3772.944914,57.25471669,-161.043149,8418.117006,296.0391869,79.8765072
214923,J-11,56.8453,-161.55135,139.02,2,no,Vest,mrPAT,6/4/2021 5:39,10/13/2021 0:00,131.2,10/13/2021 9:53,FUA,10/14/2021 5:36,56.3828,-162.2278,1127,83,64,19.72666667,20.99833333,24583.71709,1170.746111,-65.12887929,23094.91828,56.46956681,-162.5677589,2848.024363,1710.74275,90.89560527
214924,K-6,58.73355,-164.2269,146.07,2,no,Vest,mrPAT,6/11/2021 4:58,10/12/2021 23:59,124.3493056,10/13/2021 13:21,FUA,10/13/2021 14:55,57.8661,-165.5981,1297,348,93,1.575833333,1.649722222,3045.812429,1846.257745,18.34897938,2909.394496,57.89093356,-165.5826037,4439.249655,1183.892133,92.90606258
214925,K-6,58.72528333,-164.2078333,148.78,2,no,Vest,mrPAT,6/11/2021 4:44,10/13/2021 0:00,124.3,10/13/2021 12:52,FUA,10/13/2021 14:53,57.7336,-166.0411,1726,356,70,2.019722222,1.761111111,1469.880485,834.6324518,-7.213845587,1685.72571,57.74861599,-166.0446549,6595.599363,1491.043837,71.42274022
214926,J-5,58.91833333,-165.3003333,128.04,2,no,AKK,mrPAT,6/13/2021 1:06,10/13/2021 0:00,122.4381944,10/13/2021 11:37,FUA,10/13/2021 14:57,57.6565,-165.6906,1188,155,77,3.336666667,4.809444444,3404.358808,707.848661,12.42200203,2361.855031,57.67724314,-165.6820547,4255.527266,1616.347596,80.41289232
214927,H-9,58.0055,-162.7753333,152.35,3,no,AKK,mrPAT,6/6/2021 21:15,10/13/2021 0:00,128.6,10/13/2021 11:58,FUA,10/13/2021 14:54,56.2925,-163.0416,1931,451,100,2.945555556,1.741944444,2498.289073,1434.195609,54.01569913,4224.502843,56.31477977,-162.9863622,9056.406613,2109.969766,99.89954557
214928,G-9,57.16746667,-162.8036833,162.93,3,no,AKK,mrPAT,6/6/2021 4:45,10/13/2021 0:00,129.3229167,10/13/2021 12:30,FUA,10/13/2021 15:05,56.5782,-163.6151,1162,126,80,2.5925,1.566944445,2790.065983,1780.577475,44.82736873,4616.147104,56.60763181,-163.5619243,7619.10751,1375.855502,89.4267588
214929,H-9,58.0055,-162.7753333,155.9,3,no,AKK,mrPAT,6/6/2021 21:18,10/12/2021 23:59,128.5618056,10/13/2021 10:47,FUA,10/14/2021 5:09,56.7637,-163.709,1459,329,75,18.37777778,14.22166667,17276.67028,1214.813333,-67.79227326,22325.56947,56.83912622,-164.0488325,3534.617817,3307.463934,74.6695515
