tag,Capture_Station,RelLatDD,RelLongDD,Carapace_Length,SC,Injuries,Notes,model,deploy.t,rel.t,deploy.days,t0,t0.type,t1,lat1,lon1,s.maj1_m,s.min1_m,angle1_deg,driftT0_h,driftT_h,driftD_m,driftR_m_h-1,inv.driftB_deg,driftD0_m,lat0,lon0,s.maj0_m,s.min0_m,angle0_deg
225120,J-04,58.027,-167.172,153.5,2,MINOR LEG INJURY,,mrPAT,6/23/2022 4:06,10/11/2022 23:59,111.3,10/12/2022 10:44,FUA,10/13/2022 8:25,57.774,-166.4277,1682,305,91,21.69888889,22.23333333,6962.339708,313.1487125,49.85553079,6794.979119,57.81336759,-166.3400059,3735.615077,632.570964,89.81625262
233270,I-16,57.98733333,-158.2706667,137.3,3,NO,grasping pair,mrPAT,5/30/2022 21:50,10/12/2022 0:00,134.4,10/12/2022 6:23,FUA,10/12/2022 6:56,57.145,-161.6366,364,74,76,0.557777778,-0.355555556,253.4235352,-712.7536929,33.47767286,-397.5581709,57.14202225,-161.6402223,2895.440484,754.1043462,63.13166024
233271,I-09,57.83825,-162.4103,137.34,2,NO,,mrPAT,6/6/2022 3:47,10/12/2022 0:00,128.1,10/12/2022 6:29,FUA,10/12/2022 6:53,56.958,-162.1936,870,202,56,0.403333333,0.355555556,253.4235352,712.7536929,-146.5203991,287.4773228,56.95584676,-162.1962064,3400.882103,842.7502799,58.32186957
233272,H-12,56.70333333,-160.9826667,145.33,2,NO,,mrPAT,6/3/2022 4:43,10/12/2022 0:00,131.1,10/12/2022 6:43,FUA,10/12/2022 15:57,56.4083,-162.2503,1108,28,83,9.240277778,7.515833333,2940.124763,391.1907879,132.6226241,3614.711544,56.38627924,-162.2070907,2811.997787,888.7327497,70.49135008
233273,K-07,58.23215,-163.8867333,127.77,2,NO,,mrPAT,6/8/2022 21:28,10/11/2022 23:59,125.4,10/12/2022 6:48,FUA,10/12/2022 6:58,57.5646,-164.9785,940,48,58,0.171111111,0.302222222,547.6471027,1812.067619,-95.81836716,310.0649037,57.56431766,-164.9836541,2333.917312,658.0865652,74.83747042
233274,L-5,58.82995,-165.46385,178.84,3,NO,,mrPAT,6/21/2022 3:37,10/11/2022 23:59,113.1,10/12/2022 6:45,FUA,10/12/2022 6:55,57.8611,-165.4995,507,140,96,0.176666667,0.100555556,247.3776114,2460.108843,-60.37656595,434.6192288,57.86302874,-165.5058649,4664.415334,827.0763532,69.41659199
233275,K-11,58.03488333,-161.4923333,142.44,3,NO,,mrPAT,6/2/2022 23:57,10/11/2022 23:53,131.3,10/12/2022 7:12,FUA,10/12/2022 8:34,56.7225,-163.7811,3149,164,81,1.372777778,NA,NA,NA,NA,NA,56.7225,-163.7811,5454.227993,284.0563324,81
233278,H-13,57.68443333,-160.28255,150.53,2,NO,,mrPAT,6/2/2022 1:27,10/12/2022 23:59,133.2,10/13/2022 6:16,FUA,10/13/2022 6:44,56.9708,-161.7483,1104,128,68,0.477222222,2.221388889,3154.842301,1420.211615,-114.5422447,677.7565428,56.9682716,-161.7584362,2056.188983,365.8727412,69.30037209
233279,I-08,57.48963333,-163.3701833,144.59,3,SCRATCH ON LEFT PEREIOPOD,,mrPAT,6/10/2022 3:08,10/13/2022 0:00,125.1,10/13/2022 6:36,FUA,10/13/2022 6:44,56.5132,-162.2182,1413,147,74,0.134166667,NA,NA,NA,NA,NA,56.5132,-162.2182,2447.387791,254.6114687,74
233280,G-11,56.75386667,-161.5926333,162,2,NO,,mrPAT,6/3/2022 23:49,10/12/2022 23:59,131.3,10/13/2022 6:53,FUA,10/13/2022 7:01,56.5532,-162.6616,1521,303,97,0.141111111,NA,NA,NA,NA,NA,56.5532,-162.6616,2634.449278,524.8113947,97
233282,I-11,57.45808333,-161.50425,156.5,2,NO,,mrPAT,6/3/2022 17:30,10/12/2022 23:59,131.5,10/13/2022 6:12,FUA,10/13/2022 6:43,57.4096,-161.5038,1655,311,84,0.530555556,2.221388889,3154.842301,1420.211615,-114.5422447,753.5011622,57.40678916,-161.5152033,2988.48467,617.7766174,83.58216287
233283,K-04,58.35978333,-167.1960667,131.17,3,NO,,mrPAT,6/23/2022 3:54,10/12/2022 23:59,112.1,10/13/2022 6:11,FUA,10/13/2022 6:48,58.3403,-167.7298,706,38,100,0.625277778,NA,NA,NA,NA,NA,58.3403,-167.7298,1222.82787,65.81793069,100
233284,D-10,56.58223333,-162.8649333,150.68,2,NO,,mrPAT,6/5/2022 0:00,10/12/2022 23:59,130.3,10/13/2022 6:47,FUA,10/13/2022 20:35,56.7632,-162.8176,889,28,95,13.81416667,13.85361111,7834.651256,565.5313401,105.8643341,7812.344187,56.74393342,-162.6943608,2982.512032,552.718244,80.42242339
