tag,model,CaptureStation,ReleaseLatDD,RelLongDD,Length,Weight,SC,Sex,Injuries,Vessel,deploy.t,rel.t,deploy.days,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0,s.min0,angle0,Method,Reasoning
244051,mrPAT,E-11,56.30936667,-161.65365,158.16,3210,2,1,0,Northwest Explorer,6/2/2023 3:31,10/13/2023,133.1,10/13/2023 6:28,FUA,10/13/2023 21:53,56.3537,-162.9302,831,62,95,15.41916667,15.74555556,14358.52281,911.909571,102.3723035,14060.88566,56.3264442,-162.7081977,1783.46072,633.5201127,92.31261622,proxy tag 1,"target and 3 proxy tags, all gave similar results, long drift, used proxy 1"
244062,mrPAT,F-11,56.67858333,-161.5699333,161.29,3570,2,1,0,Northwest Explorer,6/1/2023 4:10,10/13/2023,134.1,10/13/2023 5:53,FUA,10/13/2023 6:00,56.6245,-161.8501,1267,174,71,0.116944444,,,,,,56.6245,-161.8501,1267,174,71,lat1/lon1,"Had many proxy tags, but extrememly short drift of 0.1 hrs, so just used lat1/lon1 as lat0/lon0"
244075,mrPAT,F-11,56.66613333,-161.6512167,138.15,2168,2,1,0,Northwest Explorer,6/1/2023 17:06,10/13/2023 23:59,134.6,10/14/2023 7:09,FUA,10/15/2023 5:07,56.2464,-163.2117,364,37,86,21.975,22.92055556,18750.39473,818.0602202,25.51479156,17976.87334,56.39203953,-163.0863201,1564.994468,718.3297802,68.00259282,proxy tag 1,"several proxy tags & target, proxy tags all matched (except proxy 2 had faster drift, but that one based off an mrPAT), took proxy 1"
244083,mrPAT,F-11,56.67858333,-161.5699333,125.16,1790,2,1,0,Northwest Explorer,6/1/2023 3:49,10/13/2023 23:59,136.5,10/15/2023 16:21,FUA,10/15/2023 19:29,56.6118,-162.0318,1037,63,115,3.136388889,3.301111111,2173.006999,658.2653311,-67.43241722,2064.57607,56.61891159,-162.0628543,2983.282816,543.474469,110.9777837,proxy tag 1,"3 hr drift, all proxy tags showed similar results, although not all overlapping, used proxy 1"
244088,mrPAT,F-12,56.6525,-161.4498333,133.06,2042,2,1,0,Northwest Explorer,6/1/2023 0:19,10/14/2023,135.3,10/14/2023 6:44,FUA,10/15/2023 6:50,56.3405,-161.9579,1588,101,64,24.10694444,24.94777778,22546.60687,903.7521127,16.48740869,21786.70197,56.52807449,-161.8574251,3421.765464,690.5707462,71.22309267,proxy tag 2,"several proxy tags, similar direction, but proxy 1 slower drift, based on veiwing tag tracks looked like proxy 2 and 3 were coming down same path that target would have from t0 to t1, so went with proxy 2"
244053,mrPAT,G-08,56.79618333,-163.3972667,156.74,3368,2,1,0,Alaska Knight,6/8/2023 19:48,10/13/2023,126.5,10/13/2023 6:42,FUA,10/13/2023 15:05,56.6935,-163.3981,202,72,118,8.399166667,8.384722222,10053.18147,1198.988017,102.3133969,10070.50018,56.67411017,-163.2376031,772.4038298,521.7955401,98.09249717,proxy tag 1,"target and 3 proxy tags, all proxy gave similar results, 8 hr drift, used proxy 1"
244068,mrPAT,G-10,57.0012,-162.20205,154.1,2870,2,1,small old dactyl tip injury,Alaska Knight,6/2/2023 1:54,10/12/2023 23:59,133.2,10/13/2023 6:52,FUA,10/15/2023 6:52,56.0993,-163.5893,1407,18,75,48.01055556,48.36916667,36428.15634,753.12764,55.63679459,36158.0764,56.28165797,-163.1074035,2582.962947,349.843472,76.67244144,proxy tag 1,"two proxy tags, and very long 2 day drift, timming good for proxy tags and they were similar, so used proxy 1"
243996,MiniPAT,G-12,56.67053333,-160.99925,157.05,3278,2,1,,Northwest Explorer,5/31/2023 21:31,10/12/2023 20:00,134.2,10/13/2023 3:00,REL,10/13/2023 5:52,56.409,-162.8984,445,201,53,2.871111111,1.796388889,1396.172545,777.2106328,146.7848044,2231.458083,56.39223241,-162.8786077,5336.173621,1561.474786,96.49224643,target tag,No target or proxy using original settings; 1 target tag after changing HQ2.Max.S.Maj from 1250 to 2250 (same as HQ1.MAX.S.MAJ)
244094,mrPAT,G-12,57.0012,-162.20205,141.2,2246,2,1,0,Alaska Knight,6/2/2023 1:54,10/13/2023 23:59,135.6,10/15/2023 15:39,FUA,10/15/2023 20:39,56.2988,-162.8264,2166,106,109,5.010555556,6.285277778,5457.445838,868.2903175,-56.46608332,4350.616874,56.32037095,-162.8850094,3788.56589,257.2527402,108.7289238,proxy tag 1,"fairly short drift of 5 hrs, all proxy tags similar"
244096,mrPAT,G-13,57.00735,-160.9173333,143.4,2552,3,1,0,Northwest Explorer,5/31/2023 18:23,10/14/2023,135.6,10/14/2023 7:43,FUA,10/14/2023 8:52,56.5898,-162.6727,2020,849,101,1.155277778,1.492222222,649.1838859,435.0450464,54.38871961,502.5978744,56.592428,-162.666049,3669.379333,1521.761086,99.27340963,proxy tag 1,"short 1.2 hour drift, proxy tags all alighned, proxy 1 much closer to target than others"
