Date_Capture,Disk,TagNu,Tag,PotorTrawl,Capture_Station,Length_mm,Weight_g,SC,Sex,Clutch,Injuries,Release_Lat,Release_Lon,Vessel,model,deploy.t,rel.t,deploy.days,t0,t0.type,t1,lat1,lon1,s.maj1,s.min1,angle1,driftT0,driftT,driftD,driftR,inv.driftB,driftD0,lat0,lon0,s.maj0,s.min0,angle0,Method,Reasoning
6/27/2024,1976,22U3947,244124,T,L-18,173.1,5055,2,1,,none,58.80666667,-168.5333333,AlaskaKnight,mrPAT,6/27/2024 17:12,10/14/2024,108.5,10/14/2024 5:56,FUA,10/14/2024 16:26,58.3426,-169.0509,811,277,105,10.50638889,14.91555556,8990.838166,602.7826542,26.64083149,6333.06898,58.3934124,-169.0023435,2482.053947,878.3634528,102.6891287,target,"no solutions with default, changed HQ2B = 1.5 (similar result to proxy tag 142 km away)"
6/5/2024,1048,22U2760,244125,T,I-12,155.08,2995,3,1,,,58.015,-160.7816667,AlaskaKnight,mrPAT,6/6/2024 1:06,10/14/2024,130.2,10/14/2024 6:06,FUA,10/14/2024 6:23,56.8422,-163.5992,478,60,99,0.296111111,,,,,,56.8422,-163.5992,478,60,99,lat1/long1,no target or proxy and very short drift time
6/23/2024,1977,23U0040,244132,T,K-02,163.68,3330,3,1,,none,58.045,-167.145,AlaskaKnight,mrPAT,6/23/2024 23:03,10/12/2024 23:59,111.3,10/13/2024 6:00,FUA,10/13/2024 6:38,57.973,-167.0622,1979,483,80,0.638055556,,,,,,57.973,-167.0622,1979,483,80,lat1/long2,no target or proxy and short drift time
6/21/2024,1978,22U3858,244176,T,L-04,152.31,2985,3,1,,none,58.91,-165.9016667,AlaskaKnight,mrPAT,6/21/2024 19:55,10/12/2024 23:59,113.4,10/13/2024 5:19,FUA,10/13/2024 23:29,58.0144,-167.2061,1072,189,91,18.16944444,20.35111111,24924.95992,1224.746884,7.06610035,22252.97046,58.21266793,-167.1595307,3546.315054,644.6191504,90.94794114,target,not solutions with default changed HQ2B to 1.5
6/6/2024,1105,22U3865,244179,T,G-11,129,1873,2,1,,,56.952604,-161.598635,NWExplorer,mrPAT,6/7/2024 1:49,10/12/2024 23:59,128.2,10/13/2024 5:28,TRANS,10/14/2024 4:45,56.0666,-162.7511,349,49,78,23.27333333,24.545,10086.72019,410.9480625,-49.62719971,9564.13124,56.12218529,-162.8682526,1967.308178,714.5220661,101.8724829,proxy1,"no solutions with default, distance changed to 93km (similar results to other proxy tags even further away)"
6/6/2024,1007,24U0966,263790,T,K-12,141.41,2125,3,1,,none,58.25833333,-161.225,AlaskaKnight,mrPAT,6/6/2024 23:11,10/13/2024,128.3,10/13/2024 6:17,FUA,10/13/2024 20:12,56.4951,-162.5282,1821,267,75,13.92333333,13.74916667,13546.39929,985.2523881,-8.020765046,13717.99742,56.61708596,-162.5593768,3648.859259,1083.210187,74.50559255,proxy 1,"4 proxy tags and target, proxy tags 1-3 all had same direction, although 2 &3 were not as far"
6/9/2024,1982,24U0968,263791,T,G-09,170.21,4205,2,1,,none,57.22666667,-162.795,AlaskaKnight,mrPAT,6/9/2024 17:00,NA,125.6,10/13/2024 6:22,FUA,10/13/2024 20:29,56.5248,-163.648,603,36,99,14.12805556,13.25333333,8646.473254,652.3998934,28.91958717,9217.141939,56.5972316,-163.5754386,1994.399651,724.1739669,92.76880501,proxy 2,"no solutions with defaults, used proxy 2 with distance ~100km (proxy 1 differed from several other proxy tags of similar distance)"
6/3/2024,1012,24U0980,263792,T,H-14,161.43,3560,3,1,,none,57.02333333,-159.7066667,AlaskaKnight,mrPAT,6/3/2024 23:27,10/12/2024 23:59,131.3,10/13/2024 5:57,FUA,10/13/2024 6:37,56.9615,-161.3928,1356,176,84,0.679722222,1.218888889,1816.522555,1490.310209,-155.0405465,1012.996967,56.9532527,-161.399825,2379.26521,378.7364665,84.04386651,proxy 1,"<1 hr drift many proxy tags, all overlapped lat1/lon1, proxy 1 only 6 km away"
6/3/2024,1182,24U0981,263793,T,H-14B,142.4,2565,2,1,,,57.228671,-159.681956,NWExplorer,mrPAT,NA,NA,NA,10/13/2024 6:02,FUA,10/13/2024 6:36,56.7779,-162.2739,864,138,67,0.581666667,,,,,,56.7779,-162.2739,864,138,67,lat1/lon1,"proxy tags all around lat1/lon 1 and time window starts after end t1, short drift, so use lat1/lon1"
6/13/2024,1984,24U0984,263796,T,J-08,158.48,3735,3,1,,none,58.00833333,-163.7216667,AlaskaKnight,mrPAT,6/13/2024 16:59,10/12/2024 23:59,121.6,10/13/2024 6:12,FUA,10/13/2024 8:01,56.8526,-163.9255,2070,105,82,1.817222222,1.32,,,,,56.8526,-163.9255,2070,105,82,lat1/lon1,"no good solutions, fairly short 1.8 hr drift"
6/7/2024,1069,24U0985,263797,T,F-11,147.2,2274,2,1,,,56.365855,-161.612345,NWExplorer,mrPAT,6/7/2024 20:03,10/14/2024,128.4,10/14/2024 6:24,FUA,10/15/2024 2:08,56.1807,-162.5004,815,373,94,19.74833333,19.36916667,17995.27953,929.0683405,-16.24399191,18347.55128,56.33887296,-162.5833859,2331.23017,839.026384,83.0745203,proxy 1 ,"target and 3 proxy tags, all with similar direction although somewhat varible distance"
6/21/2024,1088,24U1181,263798,T,L-05,152.87,3310,2,1,,none,58.66781667,-164.87535,NWExplorer,mrPAT,6/21/2024 22:38,10/12/2024 23:59,113.3,10/13/2024 6:06,FUA,10/13/2024 20:11,57.7929,-166.176,1028,458,77,14.085,8.540277778,5216.693532,610.8341752,14.85410254,8603.599357,57.8675622,-166.1388379,4980.240448,2134.198247,78.80574447,target,only target tag
6/4/2024,1018,24U1220,263799,T,F-12,148.01,2555,2,1,,none,56.765,-161.0316667,AlaskaKnight,mrPAT,6/5/2024 1:03,10/12/2024 23:59,130.2,10/13/2024 6:28,FUA,10/13/2024 20:11,56.0896,-163.1094,262,169,101,13.72166667,8.538055556,13149.71279,1540.129683,-65.5643962,21133.14613,56.16772698,-163.4191156,2052.871447,774.9477701,94.00104289,target,only target tag
6/7/2024,1149,24U1221,263800,T,F-11,121.4,1595,2,1,,,56.365855,-161.612345,NWExplorer,mrPAT,6/7/2024 20:17,10/13/2024,127.4,10/13/2024 6:16,FUA,10/13/2024 15:02,56.5281,-162.6246,971,466,73,8.775833333,8.240277778,7251.197743,879.9700615,-36.61882243,7722.470598,56.58374079,-162.6995623,2061.127014,1328.95105,60.38948515,proxy 1,"3 proxy tags, were not very consistant, so used the one with shortest distance "
6/3/2024,1188,24U1400,263802,T,G-14,136.2,2074,3,1,,,56.965472,-159.704623,NWExplorer,mrPAT,6/4/2024 1:00,NA,131.2,10/13/2024 5:57,FUA,10/13/2024 20:09,56.4857,-162.0008,793,97,97,14.20527778,13.74916667,13546.39929,985.2523881,-8.020765046,13995.78385,56.61015623,-162.0326023,2283.429047,1102.512297,82.76796698,proxy 1,"4 proxy tags, 3 generally similar direction"
6/5/2024,1009,24U1402,263804,T,J-12,142.3,2450,3,1,,none,58.01166667,-160.73,AlaskaKnight,mrPAT,6/6/2024 3:00,NA,129.1,10/13/2024 6:19,FUA,10/14/2024 6:25,56.6038,-163.0774,458,50,113,24.10472222,23.80805556,23378.94713,981.9763345,-21.55786762,23670.26677,56.80141594,-163.2197576,1684.593999,600.7783398,75.13785828,proxy 1,only 1 proxy tag
6/4/2024,1022,24U1403,263805,T,F-12,145.61,2830,2,1,,none,56.765,-161.0316667,AlaskaKnight,mrPAT,6/5/2024 0:56,10/12/2024 23:59,130.2,10/13/2024 5:57,FUA,10/13/2024 6:19,56.5919,-161.76,1872,141,68,0.377777778,,,,,,56.5919,-161.76,1872,141,68,lat1/lon1,"very short drift, many proxy tags and all on to lat1/lon1"
6/3/2024,1021,24U1407,263807,T,H-14,131.64,1680,2,1,,none,57.02333333,-159.7066667,AlaskaKnight,mrPAT,6/3/2024 23:21,10/12/2024 23:59,131.3,10/13/2024 5:47,FUA,10/13/2024 15:01,56.7454,-161.8013,328,111,129,9.240555556,8.253055556,575.205179,69.69602654,-57.23777309,644.0300052,56.74852948,-161.810152,1154.166646,578.0082899,94.30926391,proxy 1,"3 poxy tags, gave very different results (proxy 1 essentially no drift, other 2 in opposite directions), but proxy 1 much closer so used that"
6/5/2024,1044,24U1411,263810,T,H-12,154.79,3420,3,1,,none,57.78,-160.8066667,AlaskaKnight,mrPAT,6/5/2024 22:57,10/13/2024 23:59,130.3,10/14/2024 6:06,FUA,10/15/2024 11:39,56.2456,-162.0967,1727,1023,171,29.55333333,29.24361111,24101.14671,824.1508416,-15.51812459,24356.40454,56.45632198,-162.2023899,3540.885872,2799.141103,139.3844699,proxy 1,only 1 proxy tag
6/4/2024,1126,24U1412,263811,T,G-13,122.77,1327,2,1,,,56.940357,-160.231589,NWExplorer,mrPAT,6/5/2024 0:14,10/13/2024 23:59,131.2,10/14/2024 6:09,FUA,10/14/2024 16:25,56.9245,-161.7121,1882,47,98,10.27611111,9.758611111,5767.515913,591.0181118,-5.1731648,6073.367786,56.97881616,-161.7211058,3961.609587,836.2268619,99.30246036,proxy 1,"many proxy tags all, but one (proxy 4) gave very similar result"
6/3/2024,1180,24U1413,263812,T,H-14B,148.8,2701,3,1,,,57.228671,-159.681956,NWExplorer,mrPAT,6/3/2024 21:48,10/13/2024 23:59,132.4,10/14/2024 6:32,FUA,10/14/2024 14:29,57.0538,-161.3197,485,174,142,7.964722222,8.225,4277.576947,520.0701455,13.92524961,4142.214245,57.08990196,-161.3032573,3544.110131,872.0634265,87.55228442,proxy 1,"many proxy tags, generally same direction although elipses not overlapping much"
